category,pattern,note
save_the_company,"(?:support|back|prop\s+up)\s+(?:the\s+)?(?:company|brand|business)\s+(?:by\s+)?(?:buy|shop|eat|order)","buy-the-product activism"
save_the_company,"buy(?:ing)?\s+(?:their|its)\s+(?:products?|food|stuff|merch|burgers?)","consumption as support"
save_the_company,"(?:boycott|buycott)\b","organised consumer action"
save_the_company,"too\s+(?:iconic|american|big|beloved)\s+to\s+(?:die|fail|go\s+under)","sentimental rescue thesis"
save_the_company,"(?:can'?t|cannot|cant|won'?t)\s+let\s+(?:them|it|this)\s+(?:die|fail|go\s+under|go\s+bankrupt)","refusal to let it fail"
coordinate,"(?:everyone|we\s+all|lets|let'?s)\s+(?:all\s+)?buy\s+(?:at|on|this)\s+(?:\d|market\s+open|the\s+open|open|monday|tuesday|wednesday|thursday|friday)","a time or day to buy together"
coordinate,"buy\W+(?:\w+\W+){0,4}9\W?:?\W?30","the market-open coordination time"
coordinate,"(?:coordinated?|organi[sz]ed|synchroni[sz]ed)\s+(?:buy|buying|push|effort)","coordination named outright"
coordinate,"(?:if|when)\s+(?:we\s+)?(?:all|everyone)\s+(?:buy|bought|hold|holds)","collective-action conditional"
coordinate,"we\s+(?:just\s+)?need\s+(?:\d[\d,]*|a\s+few\s+(?:thousand|hundred)|enough)\s+(?:people|apes|of\s+us|retail)","headcount recruiting"
coordinate,"(?:pump|push|send|squeeze)\s+(?:it\s+|this\s+)?(?:to|past|above|through)\s+\$?\d","a target to push the price to"
coordinate,"mark\s+(?:your|ur)\s+calendars?","a scheduled event"
moonshot,"to\s+the\s+moon\b|\U0001F680","the canonical moon claim"
moonshot,"\b(?:10|20|50|100|1000)\s?x\b|\bmulti\s?bagger\b|\d{2,}\s?bagger","extreme multiple claims"
moonshot,"life\s+changing\s+money|generational\s+wealth|retire\s+(?:on|off)\s+(?:this|it)","life-changing-outcome framing"
moonshot,"next\s+(?:gme|amc|nvda|tesla|nvidia|bitcoin|palantir)\b","the next-lottery-ticket claim"
moonshot,"(?:going|gonna\s+go|headed)\s+to\s+\$\d{3,}","a very large price call"
moonshot,"(?:free\s+money|can'?t\s+lose|guaranteed\s+(?:money|gains?|win))","risk-denial language"
pump_callout,"pump\s+and\s+dump|\bp\s?&\s?d\b|\bpnd\b","the crowd naming it a pump"
pump_callout,"exit\s+liquidity|bag\s?holder|left\s+holding\s+the\s+bag","you are the exit"
pump_callout,"(?:this|it)\s+(?:is|smells\s+like|looks\s+like)\s+a\s+(?:pump|scam|rug)","direct accusation"
pump_callout,"(?:shill|shilling|astroturf|bot\s+account|paid\s+promot|sus\s+account)","accusation of manufactured hype"
pump_callout,"\brug\s?pull\b","the rug-pull call"
